decade,genres,count
1990,Music,34677
1990,Musical,9813
1990,Mystery,17392
1990,News,53729
1990,Reality-TV,10689
1990,Romance,109768
1990,Sci-Fi,7460
1990,Short,36479
1990,Sport,19712
1990,Talk-Show,72611
1990,Thriller,10254
1990,War,2836
1990,Western,986
2000,Action,79194
2000,Adult,78018
2000,Adventure,72676
2000,Animation,95545
2000,Biography,19071
2000,Comedy,330015
2000,Crime,77475
2000,Documentary,194694
2000,Drama,459616
2000,Family,126420
2000,Fantasy,34386
2000,Game-Show,75197
2000,History,26531
2000,Horror,21599
2000,Music,73328
2000,Musical,10164
2000,Mystery,32156
2000,News,120839
2000,Reality-TV,100048
2000,Romance,177504
2000,Sci-Fi,14323
2000,Short,150612
2000,Sport,46983
2000,Talk-Show,175485
2000,Thriller,21378
2000,War,6515
2000,Western,977
2010,Action,163958
2010,Adult,187894
2010,Adventure,140895
2010,Animation,177892
2010,Biography,52367
2010,Comedy,828236
2010,Crime,161549
2010,Documentary,417641
2010,Drama,892434
2010,Family,203720
2010,Fantasy,85047
2010,Game-Show,119101
2010,History,64217
2010,Horror,84666
2010,Music,129376
2010,Musical,26618
2010,Mystery,72470
2010,News,441726
2010,Reality-TV,309173
2010,Romance,270575
2010,Sci-Fi,48365
2010,Short,534827
2010,Sport,113061
2010,Talk-Show,536780
2010,Thriller,65962
2010,War,12544
2010,Western,3476
2020,Action,105328
2020,Adult,86263
2020,Adventure,89486
2020,Animation,119393
2020,Biography,25292
2020,Comedy,423130
2020,Crime,104249
2020,Documentary,259784
2020,Drama,712371
2020,Family,128990
2020,Fantasy,50415
2020,Game-Show,82288
2020,History,43050
2020,Horror,57548
2020,Music,57502
2020,Musical,12135
2020,Mystery,53970
2020,News,319350
2020,Reality-TV,171620
2020,Romance,213414
2020,Sci-Fi,27235
2020,Short,303543
2020,Sport,85613
2020,Talk-Show,391877
2020,Thriller,55405
2020,War,5010
2020,Western,2246
2030,Action,2
2030,Adventure,3
2030,Animation,1
2030,Comedy,1
2030,Crime,1
2030,Drama,11
2030,Fantasy,2
2030,Horror,1
2030,Short,1
2030,Sport,3
2030,Thriller,1
